
Período;Disciplinas;Presencial;EAD;Total;
1º;Criatividade e Inovação;36;0;36;
1º;Fundamentos de Matemática;36;0;36;
1º;Cálculo Diferencial e Integral;36;0;36;
1º;Algoritmos;72;0;72;
1º;Fundamentos da Administração;36;0;36;
1º;Mídias Digitais;36;0;36;
1º;Criação de Sites;36;0;36;
1º;Projeto Integrador I;0;36;36;
1º;Práticas Extensionistas I;0;36;36;
1º;Subtotal;288;72;360;
2º;Contabilidade e Custos;36;0;36;
2º;Desenvolvimento de Web Sites;36;0;36;
2º;Orientação a Objetos;36;0;36;
2º;Análise de Sistemas;72;0;72;
2º;Legislação Aplicada e Ética;0;36;36;
2º;Arquitetura e Organização de Computadores;36;0;36;
2º;Design Thinking;36;0;36;
2º;Projeto Integrador II;36;36;36;
2º;Práticas Extensionistas II;36;36;36;
2º;Subtotal;252;108;360;
3º;Sistemas Operacionais;0;36;36;
3º;Estruturas de Dados;72;0;72;
3º;Desenvolvimento Web Front End;72;0;72;
3º;Bancos de Dados Relacionais;72;0;72;
3º;Matemática Financeira;36;0;36;
3º;Projeto Integrador III;0;36;36;
3º;Práticas Extensionistas III;0;36;36;
3º;Subtotal;252;108;360;
4º;Modelagem de Processos;0;36;36;
4º;Economia e Finanças;0;36;36;
4º;Redes de Computadores;36;0;36;
4º;Interface Homem-Máquina;36;0;36;
4º;Comércio Eletrônico;36;0;36;
4º;Estatística;36;36;72;
4º;Processo de Desenvolvimento de Software;36;0;36;
4º;Projeto Integrador IV;0;36;36;
4º;Práticas Extensionistas IV;0;36;36;
4º;Subtotal;180;180;360;
5º;Qualidade de Software;0;36;36;
5º;Gestão de Sistemas de Informação;36;0;36;
5º;Bancos de Dados Não Relacionais;36;0;36;
5º;Desenvolvimento Web Back End;72;0;72;
5º;Infraestrutura de Tecnologia da Informação;36;0;36;
5º;Análise de Riscos;0;36;36;
5º;Eletiva I;36;0;36;
5º;Projeto Integrador V;0;36;36;
5º;Práticas Extensionistas V;0;36;36;
5º;Subtotal;216;144;360;
6º;Arquitetura e Projeto de Software;72;0;72;
6º;Metodologia Científica;0;36;36;
6º;Desenvolvimento Móvel Híbrido;72;0;72;
6º;Empreendedorismo;0;36;36;
6º;Governança de Tecnologia da Informação;0;36;36;
6º;Eletiva II;36;0;36;
6º;Projeto Integrador VI;0;36;36;
6º;Práticas Extensionistas VI;0;36;36;
6º;Estágio Obrigatório;324;0;324;
6º;Subtotal;504;180;684;
7º;Inteligência Artificial e Machine Learning;72;0;72;
7º;Desenvolvimento Móvel Nativo;72;0;72;
7º;Teste de Software;36;0;36;
7º;Manutenção e Evolução de Software;36;0;36;
7º;Administração de Bancos de Dados;36;0;36;
7º;Eletiva III;36;0;36;
7º;Projeto Integrador VII;0;36;36;
7º;Práticas Extensionistas VII;0;36;36;
7º;Trabalho de Conclusão de Curso I;0;36;36;
7º;Subtotal;288;108;396;
8º;Plano de Negócios;0;36;36;
8º;Ciência de Dados;36;0;36;
8º;Eletiva IV;36;0;36;
8º;Ecologia e Preservação do Ambiente;0;36;36;
8º;Desenvolvimento de Jogos Digitais;72;0;72;
8º;Segurança da Informação;36;0;36;
8º;Gestão de Projetos;36;0;36;
8º;Projeto Integrador VIII;36;36;36;
8º;Práticas Extensionistas VIII;36;36;36;
8º;Trabalho de Conclusão de Curso II;0;36;36;
8º;Atividades Complementares;324;0;324;
8º;Subtotal;540;180;720;
